,State,Year,Quater,User_brand,User_count,User_percentage
299,Andhra Pradesh,2020,3,Vivo,2687996,17.13
300,Andhra Pradesh,2020,3,Oppo,1695723,10.81
301,Andhra Pradesh,2020,3,Realme,1207622,7.70
302,Andhra Pradesh,2020,3,Motorola,477313,3.04
303,Andhra Pradesh,2020,3,Huawei,408520,2.60
304,Andhra Pradesh,2020,3,Apple,370327,2.36
305,Andhra Pradesh,2020,3,OnePlus,322028,2.05
306,Andhra Pradesh,2020,3,Lenovo,260912,1.66
307,Andhra Pradesh,2020,3,Others,1129155,7.20
308,Andhra Pradesh,2020,4,Xiaomi,4325662,25.33
309,Andhra Pradesh,2020,4,Samsung,3419866,20.03
310,Andhra Pradesh,2020,4,Vivo,2950572,17.28
311,Andhra Pradesh,2020,4,Oppo,1856052,10.87
312,Andhra Pradesh,2020,4,Realme,1361491,7.97
313,Andhra Pradesh,2020,4,Motorola,506158,2.96
314,Andhra Pradesh,2020,4,Huawei,437125,2.56
315,Andhra Pradesh,2020,4,Apple,394191,2.31
316,Andhra Pradesh,2020,4,OnePlus,336518,1.97
317,Andhra Pradesh,2020,4,Lenovo,276671,1.62
318,Andhra Pradesh,2020,4,Others,1212259,7.10
319,Andhra Pradesh,2021,1,Xiaomi,4644641,25.29
320,Andhra Pradesh,2021,1,Samsung,3635596,19.80
321,Andhra Pradesh,2021,1,Vivo,3245151,17.67
322,Andhra Pradesh,2021,1,Oppo,2010506,10.95
323,Andhra Pradesh,2021,1,Realme,1531645,8.34
324,Andhra Pradesh,2021,1,Motorola,518115,2.82
325,Andhra Pradesh,2021,1,Huawei,455604,2.48
326,Andhra Pradesh,2021,1,Apple,421002,2.29
327,Andhra Pradesh,2021,1,OnePlus,355922,1.94
328,Andhra Pradesh,2021,1,Lenovo,277980,1.51
329,Andhra Pradesh,2021,1,Others,1267571,6.90
330,Andhra Pradesh,2021,2,Xiaomi,4937684,25.17
331,Andhra Pradesh,2021,2,Samsung,3798250,19.36
332,Andhra Pradesh,2021,2,Vivo,3572140,18.21
333,Andhra Pradesh,2021,2,Oppo,2173037,11.08
334,Andhra Pradesh,2021,2,Realme,1817804,9.26
335,Andhra Pradesh,2021,2,Motorola,503072,2.56
336,Andhra Pradesh,2021,2,Apple,450689,2.30
337,Andhra Pradesh,2021,2,Huawei,440324,2.24
338,Andhra Pradesh,2021,2,OnePlus,394851,2.01
339,Andhra Pradesh,2021,2,Lenovo,261201,1.33
340,Andhra Pradesh,2021,2,Others,1271853,6.48
341,Andhra Pradesh,2021,3,Xiaomi,5256707,24.96
342,Andhra Pradesh,2021,3,Vivo,3981492,18.91
343,Andhra Pradesh,2021,3,Samsung,3911188,18.57
344,Andhra Pradesh,2021,3,Oppo,2382363,11.31
345,Andhra Pradesh,2021,3,Realme,2134616,10.14
346,Andhra Pradesh,2021,3,Motorola,486971,2.31
347,Andhra Pradesh,2021,3,Apple,480993,2.28
348,Andhra Pradesh,2021,3,OnePlus,459011,2.18
349,Andhra Pradesh,2021,3,Huawei,435214,2.07
350,Andhra Pradesh,2021,3,Lenovo,245241,1.16
351,Andhra Pradesh,2021,3,Others,1286102,6.11
352,Andhra Pradesh,2021,4,Xiaomi,5518238,24.54
