,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
210,Andhra Pradesh,2022,2,Peer-to-peer payments,321362337,1.23141E+12
211,Andhra Pradesh,2022,2,Merchant payments,292530048,2.05434E+11
212,Andhra Pradesh,2022,2,Recharge & bill payments,56606969,42408541939
213,Andhra Pradesh,2022,2,Financial Services,192751,245783011
214,Andhra Pradesh,2022,2,Others,441925,357036085
215,Andhra Pradesh,2022,3,Peer-to-peer payments,298804000,1.14016E+12
216,Andhra Pradesh,2022,3,Merchant payments,291033653,2.02911E+11
217,Andhra Pradesh,2022,3,Recharge & bill payments,52467708,41438764826
218,Andhra Pradesh,2022,3,Financial Services,187190,239347242
219,Andhra Pradesh,2022,3,Others,362484,323951102
220,Andhra Pradesh,2022,4,Merchant payments,321632104,2.11899E+11
221,Andhra Pradesh,2022,4,Peer-to-peer payments,315734006,1.17025E+12
222,Andhra Pradesh,2022,4,Recharge & bill payments,52098850,41986837706
223,Andhra Pradesh,2022,4,Financial Services,206459,250596592
224,Andhra Pradesh,2022,4,Others,345658,339211363
225,Andhra Pradesh,2023,1,Merchant payments,540680395,3.11607E+11
226,Andhra Pradesh,2023,1,Peer-to-peer payments,514931308,1.85782E+12
227,Andhra Pradesh,2023,1,Recharge & bill payments,89143939,78817989795
228,Andhra Pradesh,2023,1,Financial Services,288150,331233097
229,Andhra Pradesh,2023,1,Others,488672,477193006
230,Andhra Pradesh,2023,2,Merchant payments,634303064,3.49603E+11
231,Andhra Pradesh,2023,2,Peer-to-peer payments,573455382,2.06729E+12
232,Andhra Pradesh,2023,2,Recharge & bill payments,97202487,88352183038
233,Andhra Pradesh,2023,2,Financial Services,316533,386071375
234,Andhra Pradesh,2023,2,Others,379498,409939082
235,Andhra Pradesh,2023,3,Merchant payments,750265405,3.95042E+11
236,Andhra Pradesh,2023,3,Peer-to-peer payments,623202203,2.16346E+12
237,Andhra Pradesh,2023,3,Recharge & bill payments,101000645,94077774967
238,Andhra Pradesh,2023,3,Financial Services,361584,466791218
239,Andhra Pradesh,2023,3,Others,334566,362636702
240,Andhra Pradesh,2023,4,Merchant payments,822516631,4.27677E+11
241,Andhra Pradesh,2023,4,Peer-to-peer payments,673002314,2.27077E+12
242,Andhra Pradesh,2023,4,Recharge & bill payments,100733697,1.03187E+11
243,Andhra Pradesh,2023,4,Financial Services,431705,535202901
244,Andhra Pradesh,2023,4,Others,303079,348636223
245,Andhra Pradesh,2024,1,Merchant payments,926373997,4.68463E+11
246,Andhra Pradesh,2024,1,Peer-to-peer payments,721764113,2.43667E+12
247,Andhra Pradesh,2024,1,Recharge & bill payments,106564415,1.06647E+11
248,Andhra Pradesh,2024,1,Financial Services,427720,634184211
249,Andhra Pradesh,2024,1,Others,298240,316249197
250,Arunachal Pradesh,2018,1,Recharge & bill payments,28729,5184133
251,Arunachal Pradesh,2018,1,Peer-to-peer payments,13320,82889683
252,Arunachal Pradesh,2018,1,Merchant payments,1042,2420374
