,State,Year,Quarter,district,Transaction_count,Transaction_amount
241,Andhra Pradesh,2021,1,chittoor ,29342609,60947491847
242,Andhra Pradesh,2021,1,guntur ,27445045,64207987853
243,Andhra Pradesh,2021,1,krishna ,29717175,69715406645
244,Andhra Pradesh,2021,2,east godavari ,31717908,74604325864
245,Andhra Pradesh,2021,2,srikakulam ,13546232,32298129545
246,Andhra Pradesh,2021,2,spsr nellore ,30290406,72283071757
247,Andhra Pradesh,2021,2,vizianagaram ,12689494,29140685237
248,Andhra Pradesh,2021,2,visakhapatnam ,54390299,1.14E+11
249,Andhra Pradesh,2021,2,prakasam ,19944047,54535328043
250,Andhra Pradesh,2021,2,anantapur ,25123346,60987487571
251,Andhra Pradesh,2021,2,ysr ,18457361,52523527031
252,Andhra Pradesh,2021,2,west godavari ,20950964,57233116236
253,Andhra Pradesh,2021,2,kurnool ,21972396,56659287475
254,Andhra Pradesh,2021,2,chittoor ,34344902,73654690122
255,Andhra Pradesh,2021,2,guntur ,32968819,82356914464
256,Andhra Pradesh,2021,2,krishna ,36370960,90021923050
257,Andhra Pradesh,2021,3,east godavari ,39572714,89380370073
258,Andhra Pradesh,2021,3,srikakulam ,15639768,34836400770
259,Andhra Pradesh,2021,3,spsr nellore ,34411958,77839676988
260,Andhra Pradesh,2021,3,vizianagaram ,14510005,31383541628
261,Andhra Pradesh,2021,3,visakhapatnam ,69220981,1.37E+11
262,Andhra Pradesh,2021,3,prakasam ,24116580,63367713447
263,Andhra Pradesh,2021,3,anantapur ,30366444,70291248156
264,Andhra Pradesh,2021,3,ysr ,22439316,60683557725
265,Andhra Pradesh,2021,3,west godavari ,26245039,66647238455
266,Andhra Pradesh,2021,3,kurnool ,26377809,62527453762
267,Andhra Pradesh,2021,3,chittoor ,42628568,89371931753
268,Andhra Pradesh,2021,3,guntur ,41675093,96525353090
269,Andhra Pradesh,2021,3,krishna ,44828275,1.04E+11
270,Andhra Pradesh,2021,4,east godavari ,48992531,1.07E+11
271,Andhra Pradesh,2021,4,srikakulam ,18501857,39713657870
272,Andhra Pradesh,2021,4,spsr nellore ,41921081,92256405076
273,Andhra Pradesh,2021,4,vizianagaram ,17253059,36577529465
274,Andhra Pradesh,2021,4,visakhapatnam ,82711538,1.60E+11
275,Andhra Pradesh,2021,4,prakasam ,27858275,71323060008
276,Andhra Pradesh,2021,4,anantapur ,36129136,81239787007
277,Andhra Pradesh,2021,4,ysr ,26340348,69081850069
278,Andhra Pradesh,2021,4,west godavari ,33235175,81292461575
279,Andhra Pradesh,2021,4,kurnool ,31782248,73968947670
280,Andhra Pradesh,2021,4,chittoor ,51119640,1.04E+11
281,Andhra Pradesh,2021,4,guntur ,50919286,1.16E+11
282,Andhra Pradesh,2021,4,krishna ,55489829,1.25E+11
283,Andhra Pradesh,2022,1,east godavari ,54738830,1.21E+11
284,Andhra Pradesh,2022,1,srikakulam ,20990782,46898912116
285,Andhra Pradesh,2022,1,spsr nellore ,47645702,1.05E+11
286,Andhra Pradesh,2022,1,vizianagaram ,19278262,41994853362
287,Andhra Pradesh,2022,1,visakhapatnam ,88233362,1.70E+11
288,Andhra Pradesh,2022,1,prakasam ,31340975,79494373255
289,Andhra Pradesh,2022,1,anantapur ,40613148,90197023268
290,Andhra Pradesh,2022,1,ysr ,29783739,78421693519
291,Andhra Pradesh,2022,1,west godavari ,37271259,92397939904
