,State,Year,Quarter,district,registeredUsers,appOpens
288,Andhra Pradesh,2022,1,kurnool ,1729513,119653214
289,Andhra Pradesh,2022,1,guntur ,2387051,88844052
290,Andhra Pradesh,2022,1,krishna ,2423373,85871644
291,Andhra Pradesh,2022,1,spsr nellore ,1431664,101671767
292,Andhra Pradesh,2022,1,vizianagaram ,892889,44804002
293,Andhra Pradesh,2022,1,ysr ,1339782,98878499
294,Andhra Pradesh,2022,1,west godavari ,1626039,87642475
295,Andhra Pradesh,2022,1,chittoor ,2270705,144146671
296,Andhra Pradesh,2022,2,east godavari ,2564165,93383888
297,Andhra Pradesh,2022,2,srikakulam ,1086164,51087942
298,Andhra Pradesh,2022,2,visakhapatnam ,3226029,93552701
299,Andhra Pradesh,2022,2,prakasam ,1487589,108172758
300,Andhra Pradesh,2022,2,anantapur ,1928213,181499094
301,Andhra Pradesh,2022,2,kurnool ,1825280,136447455
302,Andhra Pradesh,2022,2,guntur ,2514794,91997209
303,Andhra Pradesh,2022,2,krishna ,2552107,95341487
304,Andhra Pradesh,2022,2,spsr nellore ,1509927,108755384
305,Andhra Pradesh,2022,2,vizianagaram ,943242,50230853
306,Andhra Pradesh,2022,2,ysr ,1412848,106157470
307,Andhra Pradesh,2022,2,west godavari ,1714357,103338893
308,Andhra Pradesh,2022,2,chittoor ,2392549,158771722
309,Andhra Pradesh,2022,3,east godavari ,2702234,85780890
310,Andhra Pradesh,2022,3,srikakulam ,1147016,46323107
311,Andhra Pradesh,2022,3,visakhapatnam ,3397514,87888969
312,Andhra Pradesh,2022,3,prakasam ,1567520,114185009
313,Andhra Pradesh,2022,3,anantapur ,2030824,181038520
314,Andhra Pradesh,2022,3,kurnool ,1924127,143715547
315,Andhra Pradesh,2022,3,guntur ,2647100,91146114
316,Andhra Pradesh,2022,3,krishna ,2685215,86220959
317,Andhra Pradesh,2022,3,spsr nellore ,1588875,105928407
318,Andhra Pradesh,2022,3,vizianagaram ,995141,46767889
319,Andhra Pradesh,2022,3,ysr ,1487140,107976611
320,Andhra Pradesh,2022,3,west godavari ,1805967,97509407
321,Andhra Pradesh,2022,3,chittoor ,2517657,162524274
322,Andhra Pradesh,2022,4,east godavari ,2835087,173720880
323,Andhra Pradesh,2022,4,srikakulam ,1204785,72666058
324,Andhra Pradesh,2022,4,visakhapatnam ,3566854,208604256
325,Andhra Pradesh,2022,4,prakasam ,1642503,94432083
326,Andhra Pradesh,2022,4,anantapur ,2128066,136685634
327,Andhra Pradesh,2022,4,kurnool ,2018290,105333688
328,Andhra Pradesh,2022,4,guntur ,2774365,144773169
329,Andhra Pradesh,2022,4,krishna ,2813645,156902257
330,Andhra Pradesh,2022,4,spsr nellore ,1663684,103101986
331,Andhra Pradesh,2022,4,vizianagaram ,1044490,64406405
332,Andhra Pradesh,2022,4,ysr ,1556901,93975668
333,Andhra Pradesh,2022,4,west godavari ,1893310,129116752
334,Andhra Pradesh,2022,4,chittoor ,2636036,189655966
335,Andhra Pradesh,2023,1,east godavari ,2965296,98931582
336,Andhra Pradesh,2023,1,srikakulam ,1263204,48743038
337,Andhra Pradesh,2023,1,visakhapatnam ,3732544,107253885
338,Andhra Pradesh,2023,1,prakasam ,1719910,112502189
339,Andhra Pradesh,2023,1,anantapur ,2228505,177793392
340,Andhra Pradesh,2023,1,kurnool ,2114023,149581663
341,Andhra Pradesh,2023,1,guntur ,2900895,103514892
342,Andhra Pradesh,2023,1,krishna ,2941585,98727644
343,Andhra Pradesh,2023,1,spsr nellore ,1740294,111993275
344,Andhra Pradesh,2023,1,vizianagaram ,1094782,55519223
345,Andhra Pradesh,2023,1,ysr ,1628595,109842928
346,Andhra Pradesh,2023,1,west godavari ,1980446,102965151
347,Andhra Pradesh,2023,1,chittoor ,2755784,164669558
348,Andhra Pradesh,2023,2,east godavari ,3082893,101375784
349,Andhra Pradesh,2023,2,srikakulam ,1317771,48040159
350,Andhra Pradesh,2023,2,visakhapatnam ,3877504,115516314
351,Andhra Pradesh,2023,2,prakasam ,1792637,104288559
352,Andhra Pradesh,2023,2,anantapur ,2323796,164437247
353,Andhra Pradesh,2023,2,kurnool ,2202517,142843895
354,Andhra Pradesh,2023,2,guntur ,3014655,97915941
355,Andhra Pradesh,2023,2,krishna ,3054956,99723659
356,Andhra Pradesh,2023,2,spsr nellore ,1811781,113350865
357,Andhra Pradesh,2023,2,vizianagaram ,1141578,55405616
358,Andhra Pradesh,2023,2,ysr ,1694843,98586928
359,Andhra Pradesh,2023,2,west godavari ,2059880,116005083
360,Andhra Pradesh,2023,2,chittoor ,2865250,170462384
361,Andhra Pradesh,2023,3,east godavari ,3211557,83823834
